(10, 21)
x3000        x102A    ADD R0, R0, #10
x3001        x1267    ADD R1, R1, #7
x3002        x1267    ADD R1, R1, #7
x3003        x1267    ADD R1, R1, #7
x3004        x304B    ST R0, x3050
x3005        x324B    ST R1, x3051
x3006        x1401    ADD R2, R0, R1
x3007        x344A    ST R2, x3052
x3008        x967F    NOT R3, R1
x3009        x16E1    ADD R3, R3, #1
x300A        x1803    ADD R4, R0, R3
x300B        x3847    ST R4, x3053
x300C        x5A01    AND R5, R0, R1
x300D        x3A46    ST R5, x3054
x300E        x9A3F    NOT R5, R0
x300F        x1B61    ADD R5, R5, #1
x3010        x3A44    ST R5, x3055
x3011        x5CC5    AND R6, R3, R5
x3012        x9DBF    NOT R6, R6
x3013        x1DA2    ADD R6, R6, #2
x3014        x3C41    ST R6, x3056
x3015        x1E23    ADD R7, R0, #3
x3016        x3E40    ST R7, x3057
x3017        x1FFD    ADD R7, R7, #-3
x3018        x1FFD    ADD R7, R7, #-3
x3019        x3E3E    ST R7, x3058
x301A        x5221    AND R1, R0, #1
x301B        x323D    ST R1, x3059


(-11, 15)
x3000        x1035    ADD R0, R0, #-11
x3001        x1265    ADD R1, R1, #5
x3002        x1265    ADD R1, R1, #5
x3003        x1265    ADD R1, R1, #5
x3004        x304B    ST R0, x3050
x3005        x324B    ST R1, x3051
x3006        x1401    ADD R2, R0, R1
x3007        x344A    ST R2, x3052
x3008        x967F    NOT R3, R1
x3009        x16E1    ADD R3, R3, #1
x300A        x1803    ADD R4, R0, R3
x300B        x3847    ST R4, x3053
x300C        x5A01    AND R5, R0, R1
x300D        x3A46    ST R5, x3054
x300E        x9A3F    NOT R5, R0
x300F        x1B61    ADD R5, R5, #1
x3010        x3A44    ST R5, x3055
x3011        x5CC5    AND R6, R3, R5
x3012        x9DBF    NOT R6, R6
x3013        x1DA2    ADD R6, R6, #2
x3014        x3C41    ST R6, x3056
x3015        x1E23    ADD R7, R0, #3
x3016        x3E40    ST R7, x3057
x3017        x1FFD    ADD R7, R7, #-3
x3018        x1FFD    ADD R7, R7, #-3
x3019        x3E3E    ST R7, x3058
x301A        x5221    AND R1, R0, #1
x301B        x323D    ST R1, x3059


(9,12)
x3000        x1029    ADD R0, R0, #9
x3001        x0000    NOP
x3002        x0000    NOP
x3003        x126C    ADD R1, R1, #12
x3004        x304B    ST R0, x3050
x3005        x324B    ST R1, x3051
x3006        x1401    ADD R2, R0, R1
x3007        x344A    ST R2, x3052
x3008        x967F    NOT R3, R1
x3009        x16E1    ADD R3, R3, #1
x300A        x1803    ADD R4, R0, R3
x300B        x3847    ST R4, x3053
x300C        x5A01    AND R5, R0, R1
x300D        x3A46    ST R5, x3054
x300E        x9A3F    NOT R5, R0
x300F        x1B61    ADD R5, R5, #1
x3010        x3A44    ST R5, x3055
x3011        x5CC5    AND R6, R3, R5
x3012        x9DBF    NOT R6, R6
x3013        x1DA2    ADD R6, R6, #2
x3014        x3C41    ST R6, x3056
x3015        x1E23    ADD R7, R0, #3
x3016        x3E40    ST R7, x3057
x3017        x1FFD    ADD R7, R7, #-3
x3018        x1FFD    ADD R7, R7, #-3
x3019        x3E3E    ST R7, x3058
x301A        x5221    AND R1, R0, #1
x301B        x323D    ST R1, x3059
